dataset,classifier,fold,metric,value
semeion,GaussianNB,0,accuracy,0.80625
semeion,GaussianNB,0,macro_f1,0.8090181654115789
semeion,GaussianNB,0,auc_roc,0.9687200239173015
semeion,GaussianNB,0,log_loss,5.37317057971147
semeion,GaussianNB,0,brier_score,0.382443732556642
semeion,GaussianNB,0,ece,0.19017638395879677
semeion,GaussianNB,0,balanced_accuracy,0.8066176470588236
semeion,GaussianNB,0,geometric_mean,0.7860939064196875
semeion,GaussianNB,0,mcc,0.7917283503951068
semeion,GaussianNB,0,weighted_f1,0.8090303843754107
semeion,GaussianNB,0,fit_time,0.003000020980834961
semeion,GaussianNB,0,predict_time,0.0020003318786621094
semeion,GaussianNB,1,accuracy,0.78125
semeion,GaussianNB,1,macro_f1,0.7842229431528162
semeion,GaussianNB,1,auc_roc,0.9526619678337636
semeion,GaussianNB,1,log_loss,6.597329995953848
semeion,GaussianNB,1,brier_score,0.43081724110383046
semeion,GaussianNB,1,ece,0.21672227392693402
semeion,GaussianNB,1,balanced_accuracy,0.7796078431372548
semeion,GaussianNB,1,geometric_mean,0.7698919628733236
semeion,GaussianNB,1,mcc,0.7602674119526096
semeion,GaussianNB,1,weighted_f1,0.7838039862494843
semeion,GaussianNB,1,fit_time,0.001992464065551758
semeion,GaussianNB,1,predict_time,0.002000093460083008
semeion,GaussianNB,2,accuracy,0.81875
semeion,GaussianNB,2,macro_f1,0.8263900596439633
semeion,GaussianNB,2,auc_roc,0.9735071344343341
semeion,GaussianNB,2,log_loss,5.2820918710929785
semeion,GaussianNB,2,brier_score,0.3556525604761391
semeion,GaussianNB,2,ece,0.18267706758776592
semeion,GaussianNB,2,balanced_accuracy,0.8162499999999999
semeion,GaussianNB,2,geometric_mean,0.7985493779210705
semeion,GaussianNB,2,mcc,0.8068792196467669
semeion,GaussianNB,2,weighted_f1,0.8257119936062274
semeion,GaussianNB,2,fit_time,0.0029993057250976562
semeion,GaussianNB,2,predict_time,0.0009999275207519531
semeion,GaussianNB,3,accuracy,0.7924528301886793
semeion,GaussianNB,3,macro_f1,0.7932839064328048
semeion,GaussianNB,3,auc_roc,0.958489380989381
semeion,GaussianNB,3,log_loss,6.0802366544819195
semeion,GaussianNB,3,brier_score,0.41497228363923955
semeion,GaussianNB,3,ece,0.2091061418536133
semeion,GaussianNB,3,balanced_accuracy,0.7916666666666666
semeion,GaussianNB,3,geometric_mean,0.770806582514466
semeion,GaussianNB,3,mcc,0.7762077824437462
semeion,GaussianNB,3,weighted_f1,0.79361436659439
semeion,GaussianNB,3,fit_time,0.003000020980834961
semeion,GaussianNB,3,predict_time,0.002000093460083008
semeion,GaussianNB,4,accuracy,0.8113207547169812
semeion,GaussianNB,4,macro_f1,0.8214080480499433
semeion,GaussianNB,4,auc_roc,0.9581141543641543
semeion,GaussianNB,4,log_loss,5.901144068683681
semeion,GaussianNB,4,brier_score,0.3674201839505164
semeion,GaussianNB,4,ece,0.1847161997801258
semeion,GaussianNB,4,balanced_accuracy,0.8108333333333334
semeion,GaussianNB,4,geometric_mean,0.8033687849158837
semeion,GaussianNB,4,mcc,0.7957971603611064
semeion,GaussianNB,4,weighted_f1,0.8214495149256358
semeion,GaussianNB,4,fit_time,0.002997159957885742
semeion,GaussianNB,4,predict_time,0.0010006427764892578
semeion,GaussianNB,5,accuracy,0.7610062893081762
semeion,GaussianNB,5,macro_f1,0.7608586744639376
semeion,GaussianNB,5,auc_roc,0.9637734718984718
semeion,GaussianNB,5,log_loss,6.639416845589374
semeion,GaussianNB,5,brier_score,0.46825976778027956
semeion,GaussianNB,5,ece,0.23823933585548734
semeion,GaussianNB,5,balanced_accuracy,0.7616666666666667
semeion,GaussianNB,5,geometric_mean,0.7386180559757136
semeion,GaussianNB,5,mcc,0.7419466221639561
semeion,GaussianNB,5,weighted_f1,0.7601932153934802
semeion,GaussianNB,5,fit_time,0.0029990673065185547
semeion,GaussianNB,5,predict_time,0.0020394325256347656
semeion,GaussianNB,6,accuracy,0.7295597484276729
semeion,GaussianNB,6,macro_f1,0.7350730994152046
semeion,GaussianNB,6,auc_roc,0.9421639471639474
semeion,GaussianNB,6,log_loss,8.36539214860076
semeion,GaussianNB,6,brier_score,0.5322876640632667
semeion,GaussianNB,6,ece,0.2648839499094795
semeion,GaussianNB,6,balanced_accuracy,0.7291666666666666
semeion,GaussianNB,6,geometric_mean,0.7103692151287377
semeion,GaussianNB,6,mcc,0.7072441071484131
semeion,GaussianNB,6,weighted_f1,0.7357653830593255
semeion,GaussianNB,6,fit_time,0.001953125
semeion,GaussianNB,6,predict_time,0.0019948482513427734
semeion,GaussianNB,7,accuracy,0.8176100628930818
semeion,GaussianNB,7,macro_f1,0.82032674163144
semeion,GaussianNB,7,auc_roc,0.9754320448070446
semeion,GaussianNB,7,log_loss,5.3693843317941
semeion,GaussianNB,7,brier_score,0.3600146418872586
semeion,GaussianNB,7,ece,0.18106075511616454
semeion,GaussianNB,7,balanced_accuracy,0.8170833333333334
semeion,GaussianNB,7,geometric_mean,0.8011387059803492
semeion,GaussianNB,7,mcc,0.8033701467122905
semeion,GaussianNB,7,weighted_f1,0.8210226493187144
semeion,GaussianNB,7,fit_time,0.0029997825622558594
semeion,GaussianNB,7,predict_time,0.002002239227294922
semeion,GaussianNB,8,accuracy,0.7861635220125787
semeion,GaussianNB,8,macro_f1,0.7960891423391423
semeion,GaussianNB,8,auc_roc,0.9765101333851334
semeion,GaussianNB,8,log_loss,5.896195023176915
semeion,GaussianNB,8,brier_score,0.4194568967215976
semeion,GaussianNB,8,ece,0.21192440550841024
semeion,GaussianNB,8,balanced_accuracy,0.78625
semeion,GaussianNB,8,geometric_mean,0.7744618911959302
semeion,GaussianNB,8,mcc,0.7693190083251901
semeion,GaussianNB,8,weighted_f1,0.7965219499810695
semeion,GaussianNB,8,fit_time,0.0019974708557128906
semeion,GaussianNB,8,predict_time,0.0019998550415039062
semeion,GaussianNB,9,accuracy,0.7861635220125787
semeion,GaussianNB,9,macro_f1,0.7874590400212521
semeion,GaussianNB,9,auc_roc,0.963722966847967
semeion,GaussianNB,9,log_loss,6.705021556240209
semeion,GaussianNB,9,brier_score,0.427983994688794
semeion,GaussianNB,9,ece,0.21546807251907282
semeion,GaussianNB,9,balanced_accuracy,0.7845833333333333
semeion,GaussianNB,9,geometric_mean,0.7658298007324816
semeion,GaussianNB,9,mcc,0.769535089382989
semeion,GaussianNB,9,weighted_f1,0.7886846151623128
semeion,GaussianNB,9,fit_time,0.0020072460174560547
semeion,GaussianNB,9,predict_time,0.0019996166229248047
semeion,MultinomialNB,0,accuracy,0.86875
semeion,MultinomialNB,0,macro_f1,0.8669911046856018
semeion,MultinomialNB,0,auc_roc,0.9899482159961686
semeion,MultinomialNB,0,log_loss,1.1983578870472105
semeion,MultinomialNB,0,brier_score,0.23002022909998612
